Intento,t,x
1,160,440.00
1,180,365.00
1,200,421.00
1,220,576.00
1,240,384.00
1,260,616.00
1,280,402.00
1,300,616.00
1,320,459.00
1,340,477.00
1,360,496.00
1,380,440.00
1,400,536.00
1,420,536.00
1,440,637.00
1,460,617.00
1,480,697.00
1,500,678.00
1,520,758.00
1,540,718.00
1,560,873.00
1,580,819.00
1,600,873.00
1,620,913.00
1,640,950.00
1,660,969.00
1,680,987.00
1,700,1006.00
1,720,1153.00
1,740,1098.00
1,760,1172.00
1,780,1246.00
1,800,1246.00
1,820,1402.00
1,840,1351.00
1,860,1401.00
1,880,1485.00
1,900,1536.00
1,920,1569.00
1,940,1702.00
1,960,1733.00
1,980,1718.00
1,1000,1823.00
1,1020,1907.00
1,1040,1967.00
1,1060,1982.00
1,1080,2087.00
1,1100,2100.00
1,1120,2260.00
1,1140,2327.00
1,1160,2313.00
1,1180,2407.00
1,1200,2473.00
2,600,384.00
2,620,309.00
2,640,365.00
2,660,421.00
2,680,402.00
2,700,384.00
2,720,346.00
2,740,458.00
2,760,346.00
2,780,536.00
2,800,403.00
2,820,576.00
2,840,496.00
2,860,496.00
2,880,496.00
2,900,597.00
2,920,677.00
2,940,657.00
2,960,718.00
2,980,778.00
2,1000,859.00
2,1020,798.00
2,1040,859.00
2,1060,893.00
2,1080,932.00
2,1100,950.00
2,1120,987.00
2,1140,1006.00
2,1160,1079.00
2,1180,1153.00
2,1200,1172.00
2,1220,1172.00
2,1240,1246.00
2,1260,1301.00
2,1280,1351.00
2,1300,1435.00
2,1320,1717.00
2,1340,1518.00
2,1360,1602.00
2,1380,1653.00
2,1400,1718.00
2,1420,1718.00
2,1440,1808.00
2,1460,1868.00
2,1480,1952.00
2,1500,2012.00
2,1520,2027.00
2,1540,2087.00
2,1560,2127.00
2,1580,2286.00
2,1600,2379.00
2,1620,2326.00
2,1640,2419.00
2,1660,2445.00
2,1680,2507.00
