Intento,t,x
1,40,383.00
1,60,383.00
1,80,383.00
1,100,384.00
1,120,383.00
1,140,384.00
1,160,383.00
1,180,383.00
1,200,384.00
1,220,383.00
1,240,384.00
1,260,384.00
1,280,384.00
1,300,384.00
1,320,384.00
1,340,384.00
1,360,384.00
1,380,384.00
1,400,383.00
1,420,384.00
1,440,384.00
1,460,384.00
1,480,384.00
1,500,384.00
1,520,383.00
1,540,384.00
1,560,384.00
1,580,383.00
1,600,384.00
1,620,383.00
1,640,384.00
1,660,384.00
1,680,383.00
1,700,440.00
1,720,617.00
1,740,477.00
1,760,383.00
1,780,347.00
1,800,459.00
1,820,477.00
1,840,496.00
1,860,440.00
1,880,536.00
1,900,536.00
1,920,637.00
1,940,617.00
1,960,597.00
1,980,657.00
1,1000,717.00
1,1020,758.00
1,1040,818.00
1,1060,932.00
1,1080,1024.00
1,1100,913.00
1,1120,987.00
1,1140,1005.00
1,1160,1006.00
1,1180,1135.00
1,1200,1135.00
1,1220,1190.00
1,1240,1246.00
1,1260,1652.00
1,1280,1763.00
1,1300,1401.00
1,1320,1718.00
1,1340,1602.00
1,1360,1718.00
1,1380,1703.00
1,1400,1717.00
1,1420,1838.00
1,1440,1883.00
1,1460,1997.00
1,1480,2072.00
1,1500,2113.00
1,1520,2140.00
1,1540,2313.00
1,1560,2392.00
1,1580,2393.00
1,1600,2484.00
2,640,271.00
2,660,271.00
2,680,271.00
2,700,271.00
2,720,271.00
2,740,271.00
2,760,272.00
2,780,272.00
2,800,271.00
2,820,271.00
2,840,271.00
2,860,271.00
2,880,271.00
2,900,272.00
2,920,271.00
2,940,272.00
2,960,271.00
2,980,272.00
2,1000,271.00
2,1020,271.00
2,1040,271.00
2,1060,271.00
2,1080,271.00
2,1100,272.00
2,1120,272.00
2,1140,272.00
2,1160,271.00
2,1180,271.00
2,1200,328.00
2,1220,309.00
2,1240,346.00
2,1260,328.00
2,1280,496.00
2,1300,384.00
2,1320,478.00
2,1340,421.00
2,1360,440.00
2,1380,440.00
2,1400,515.00
2,1420,617.00
2,1440,597.00
2,1460,677.00
2,1480,738.00
2,1500,698.00
2,1520,738.00
2,1540,778.00
2,1560,819.00
2,1580,932.00
2,1600,950.00
2,1620,950.00
2,1640,969.00
2,1660,1042.00
2,1680,1043.00
2,1700,1098.00
2,1720,1227.00
2,1740,1209.00
2,1760,1318.00
2,1780,1351.00
2,1800,1718.00
2,1820,1452.00
2,1840,1718.00
2,1860,1733.00
2,1880,1670.00
2,1900,1717.00
2,1920,1808.00
2,1940,1882.00
2,1960,1952.00
2,1980,2073.00
2,2000,2100.00
2,2020,2193.00
2,2040,2247.00
2,2060,2300.00
2,2080,2380.00
2,2100,2472.00
