Intento,t,x
1,20,290.00
1,40,290.00
1,60,290.00
1,80,365.00
1,100,290.00
1,120,290.00
1,140,365.00
1,160,365.00
1,180,290.00
1,200,365.00
1,220,290.00
1,240,290.00
1,260,290.00
1,280,365.00
1,300,290.00
1,320,290.00
1,340,365.00
1,360,365.00
1,380,290.00
1,400,290.00
1,420,365.00
1,440,365.00
1,460,365.00
1,480,365.00
1,500,365.00
1,520,365.00
1,540,365.00
1,560,365.00
1,580,365.00
1,600,365.00
1,620,365.00
1,640,365.00
1,660,365.00
1,680,365.00
1,700,365.00
1,720,271.00
1,740,328.00
1,760,365.00
1,780,403.00
1,800,347.00
1,820,421.00
1,840,421.00
1,860,496.00
1,880,556.00
1,900,617.00
1,920,658.00
1,940,779.00
1,960,698.00
1,980,873.00
1,1000,873.00
1,1020,839.00
1,1040,969.00
1,1060,1006.00
1,1080,1024.00
1,1100,1098.00
1,1120,1172.00
1,1140,1301.00
1,1160,1653.00
1,1180,1418.00
1,1200,1502.00
1,1220,1653.00
1,1240,1670.00
1,1260,1793.00
1,1280,1868.00
1,1300,1997.00
1,1320,2087.00
1,1340,2220.00
1,1360,2340.00
1,1380,2433.00
1,1400,2577.00
1,1420,779.00
1,1440,779.00
1,1460,893.00
1,1480,874.00
1,1500,799.00
1,1520,874.00
1,1540,873.00
1,1560,932.00
1,1580,932.00
1,1600,987.00
1,1620,969.00
1,1640,1024.00
1,1660,1005.00
1,1680,1061.00
1,1700,1098.00
1,1720,1154.00
1,1740,1190.00
1,1760,1246.00
1,1780,1283.00
1,1800,1264.00
1,1820,1301.00
1,1840,1335.00
1,1860,1748.00
1,1880,1435.00
1,1900,1748.00
1,1920,1485.00
1,1940,1552.00
1,1960,1619.00
1,1980,1733.00
1,2000,1748.00
1,2020,1686.00
1,2040,1733.00
1,2060,1823.00
1,2080,1868.00
1,2100,1880.00
1,2120,1922.00
1,2140,1968.00
1,2160,2012.00
1,2180,2058.00
1,2200,2058.00
1,2220,2100.00
1,2240,2154.00
1,2260,2207.00
1,2280,2327.00
1,2300,2353.00
1,2320,2380.00
1,2340,2460.00
2,240,271.00
2,260,271.00
2,280,272.00
2,300,271.00
2,320,272.00
2,340,271.00
2,360,272.00
2,380,271.00
2,400,271.00
2,420,271.00
2,440,271.00
2,460,271.00
2,480,272.00
2,500,272.00
2,520,272.00
2,540,272.00
2,560,271.00
2,580,271.00
2,600,271.00
2,620,271.00
2,640,328.00
2,660,309.00
2,680,346.00
2,700,384.00
2,720,346.00
2,740,365.00
2,760,536.00
2,780,459.00
2,800,536.00
2,820,515.00
2,840,596.00
2,860,759.00
2,880,697.00
2,900,718.00
2,920,738.00
2,940,758.00
2,960,859.00
2,980,860.00
2,1000,932.00
2,1020,987.00
2,1040,1043.00
2,1060,1080.00
2,1080,1172.00
2,1100,1191.00
2,1120,1283.00
2,1140,1335.00
2,1160,1435.00
2,1180,1519.00
2,1200,1603.00
2,1220,1719.00
2,1240,1778.00
2,1260,1892.00
2,1280,1937.00
2,1300,2042.00
2,1320,2167.00
2,1340,2220.00
2,1360,2380.00
2,1380,2420.00
2,1400,2542.00
2,1200,515.00
2,1220,556.00
2,1240,496.00
2,1260,617.00
2,1280,637.00
2,1300,637.00
2,1320,657.00
2,1340,657.00
2,1360,758.00
2,1380,874.00
2,1400,779.00
2,1420,779.00
2,1440,779.00
2,1460,893.00
2,1480,874.00
2,1500,799.00
2,1520,874.00
2,1540,873.00
2,1560,932.00
2,1580,932.00
2,1600,987.00
2,1620,969.00
2,1640,1024.00
2,1660,1005.00
2,1680,1061.00
2,1700,1098.00
2,1720,1154.00
2,1740,1190.00
2,1760,1246.00
2,1780,1283.00
2,1800,1264.00
2,1820,1301.00
2,1840,1335.00
2,1860,1748.00
2,1880,1435.00
2,1900,1748.00
2,1920,1485.00
2,1940,1552.00
2,1960,1619.00
2,1980,1733.00
2,2000,1748.00
2,2020,1686.00
2,2040,1733.00
2,2060,1823.00
2,2080,1868.00
2,2100,1880.00
2,2120,1922.00
2,2140,1968.00
2,2160,2012.00
2,2180,2058.00
2,2200,2058.00
2,2220,2100.00
2,2240,2154.00
2,2260,2207.00
2,2280,2327.00
2,2300,2353.00
2,2320,2380.00
2,2340,2460.00
