Intento,t,x
1,1140,365.00
1,1160,496.00
1,1180,346.00
1,1200,403.00
1,1220,384.00
1,1240,440.00
1,1260,403.00
1,1280,440.00
1,1300,459.00
1,1320,421.00
1,1340,617.00
1,1360,440.00
1,1380,536.00
1,1400,536.00
1,1420,637.00
1,1440,617.00
1,1460,698.00
1,1480,758.00
1,1500,718.00
1,1520,950.00
1,1540,819.00
1,1560,859.00
1,1580,969.00
1,1600,914.00
1,1620,913.00
1,1640,987.00
1,1660,1061.00
1,1680,1061.00
1,1700,1172.00
1,1720,1227.00
1,1740,1334.00
1,1760,1619.00
1,1780,1385.00
1,1800,1452.00
1,1820,1519.00
1,1840,1586.00
1,1860,1733.00
1,1880,1703.00
1,1900,1778.00
1,1920,1853.00
1,1940,1952.00
1,1960,2012.00
1,1980,2087.00
1,2000,2154.00
1,2020,2234.00
1,2040,2327.00
1,2060,2460.00
2,1580,365.00
2,1600,496.00
2,1620,346.00
2,1640,402.00
2,1660,384.00
2,1680,421.00
2,1700,402.00
2,1720,617.00
2,1740,459.00
2,1760,421.00
2,1780,617.00
2,1800,515.00
2,1820,536.00
2,1840,657.00
2,1860,637.00
2,1880,637.00
2,1900,616.00
2,1920,698.00
2,1940,758.00
2,1960,718.00
2,1980,859.00
2,2000,894.00
2,2020,932.00
2,2040,873.00
2,2060,969.00
2,2080,1042.00
2,2100,987.00
2,2120,1042.00
2,2140,1172.00
2,2160,1153.00
2,2180,1209.00
2,2200,1468.00
2,2220,1385.00
2,2240,1748.00
2,2260,1519.00
2,2280,1733.00
2,2300,1602.00
2,2320,1670.00
2,2340,1748.00
2,2360,1823.00
2,2380,1922.00
2,2400,1997.00
2,2420,2057.00
2,2440,2113.00
2,2460,2299.00
2,2480,2287.00
2,2500,2380.00
2,2520,2446.00
2,2540,2507.00
