t,x,y,r,θr
1.101,34.85,12.06,36.88,19.09
1.135,35.12,11.14,36.84,17.59
1.168,35.49,9.917,36.85,15.61
1.201,35.88,8.410,36.85,13.19
1.235,36.26,6.657,36.86,10.40
1.268,36.59,4.675,36.88,7.282
1.302,36.81,2.515,36.90,3.908
1.335,36.90,0.271,36.90,0.421
1.368,36.86,-1.920,36.91,-2.982
1.402,36.69,-4.206,36.93,-6.541
1.435,36.40,-6.291,36.94,-9.807
1.468,36.04,-8.178,36.96,-12.78
1.502,35.64,-9.815,36.97,-15.40
1.535,35.24,-11.18,36.97,-17.60
1.569,34.89,-12.24,36.97,-19.32
1.602,34.65,-12.95,36.99,-20.49
1.635,34.53,-13.36,37.03,-21.15
1.669,34.54,-13.38,37.04,-21.17
1.702,34.66,-13.06,37.04,-20.64
1.735,34.91,-12.43,37.05,-19.60
1.769,35.25,-11.42,37.06,-17.95
1.802,35.65,-10.10,37.05,-15.82
1.835,36.06,-8.494,37.04,-13.26
1.869,36.41,-6.641,37.01,-10.34
1.902,36.69,-4.603,36.98,-7.151
1.936,36.84,-2.422,36.92,-3.761
1.969,36.89,-0.338,36.89,-0.526
2.002,36.76,1.861,36.80,2.899
2.036,36.58,3.973,36.79,6.199
2.069,36.29,5.936,36.77,9.289
2.102,36.09,7.832,36.93,12.24
2.136,35.70,9.378,36.91,14.72
2.169,35.33,10.66,36.91,16.78
2.203,35.02,11.61,36.89,18.34
2.236,34.80,12.23,36.88,19.36
2.269,34.68,12.51,36.87,19.83
2.303,34.70,12.45,36.87,19.74
2.336,34.84,12.05,36.87,19.08
2.369,35.11,11.31,36.89,17.85
2.403,35.43,10.22,36.88,16.09
2.436,35.81,8.830,36.88,13.85
2.470,36.18,7.171,36.89,11.21
2.503,36.52,5.281,36.90,8.228
2.536,36.76,3.210,36.90,4.991
2.570,36.90,1.015,36.91,1.576
2.603,36.90,-1.172,36.92,-1.819
2.636,36.77,-3.401,36.93,-5.284
2.670,36.52,-5.506,36.93,-8.575
2.703,36.18,-7.444,36.94,-11.63
2.737,35.80,-9.167,36.95,-14.36
2.770,35.40,-10.62,36.95,-16.70
2.803,35.03,-11.77,36.96,-18.56
2.837,34.76,-12.59,36.97,-19.92
2.870,34.57,-13.08,36.96,-20.73
2.903,34.53,-13.24,36.98,-20.97
2.937,34.60,-13.03,36.97,-20.64
2.970,34.80,-12.49,36.98,-19.73
3.004,35.10,-11.61,36.97,-18.30
3.037,35.47,-10.42,36.97,-16.38
3.070,35.87,-8.945,36.97,-14.00
3.104,36.25,-7.213,36.97,-11.25
3.137,36.59,-5.290,36.97,-8.226
3.170,36.81,-3.209,36.95,-4.982
3.204,36.94,-1.026,36.95,-1.591
3.237,36.92,1.122,36.94,1.741
3.270,36.79,3.273,36.94,5.083
3.304,36.55,5.293,36.93,8.241
3.337,36.23,7.136,36.92,11.14
3.371,35.86,8.746,36.91,13.71
3.404,35.48,10.10,36.89,15.89
3.437,35.16,11.15,36.88,17.59
3.471,34.91,11.88,36.87,18.79
3.504,34.77,12.27,36.87,19.44
3.537,34.74,12.34,36.87,19.56
3.571,34.83,12.06,36.86,19.10
3.604,35.05,11.44,36.87,18.07
3.638,35.35,10.48,36.87,16.51
3.671,35.72,9.219,36.89,14.47
3.704,36.09,7.670,36.90,12.00
3.738,36.42,5.876,36.89,9.165
3.771,36.70,3.886,36.90,6.045
3.804,36.88,1.738,36.92,2.698
3.838,36.93,-0.460,36.93,-0.714
3.871,36.85,-2.618,36.95,-4.063
3.905,36.63,-4.755,36.94,-7.396
3.938,36.34,-6.730,36.95,-10.49
3.971,35.98,-8.505,36.97,-13.30
4.005,35.59,-10.04,36.97,-15.76
4.038,35.23,-11.28,36.99,-17.75
4.071,34.92,-12.20,36.99,-19.26
4.105,34.70,-12.80,36.98,-20.24
4.138,34.60,-13.06,36.99,-20.68
4.172,34.64,-12.97,36.99,-20.53
4.205,34.80,-12.55,36.99,-19.83
4.238,35.05,-11.79,36.98,-18.59
4.272,35.40,-10.71,36.98,-16.84
4.305,35.77,-9.350,36.98,-14.65
4.338,36.16,-7.719,36.97,-12.05
4.372,36.49,-5.868,36.96,-9.135
4.405,36.75,-3.857,36.95,-5.991
4.439,36.91,-1.712,36.95,-2.656
4.472,36.92,0.405,36.93,0.628
4.505,36.84,2.522,36.92,3.917
4.539,36.63,4.558,36.91,7.093
4.572,36.35,6.443,36.91,10.05
4.605,36.00,8.113,36.90,12.70
4.639,35.64,9.537,36.90,14.98
4.672,35.31,10.68,36.89,16.83
4.706,35.05,11.51,36.89,18.17
4.739,34.86,12.01,36.87,19.01
4.772,34.79,12.18,36.86,19.29
4.806,34.85,12.01,36.86,19.02
4.839,35.02,11.51,36.86,18.19
4.872,35.29,10.67,36.87,16.82
4.906,35.63,9.521,36.88,14.96
4.939,35.98,8.083,36.88,12.66
4.972,36.34,6.396,36.89,9.982
5.006,36.63,4.498,36.91,7.000
5.039,36.84,2.439,36.92,3.787
5.073,36.92,0.295,36.92,0.458
5.106,36.90,-1.827,36.94,-2.834
5.139,36.73,-4.001,36.95,-6.216
5.173,36.46,-6.006,36.95,-9.354
5.206,36.12,-7.835,36.96,-12.24
5.239,35.75,-9.430,36.97,-14.78
5.273,35.37,-10.76,36.97,-16.92
5.306,35.05,-11.79,36.98,-18.59
5.340,34.81,-12.49,36.99,-19.73
5.373,34.68,-12.85,36.99,-20.34
5.406,34.67,-12.89,36.99,-20.39
5.440,34.78,-12.57,36.99,-19.87
5.473,35.00,-11.94,36.98,-18.83
5.506,35.32,-10.98,36.99,-17.27
5.540,35.69,-9.719,36.99,-15.24
5.573,36.06,-8.195,36.98,-12.80
5.607,36.40,-6.437,36.96,-10.03
5.640,36.69,-4.499,36.96,-6.991
5.673,36.88,-2.417,36.96,-3.749
5.707,36.97,-0.371,36.97,-0.576
5.740,36.90,1.767,36.95,2.742
5.773,36.73,3.827,36.93,5.948
5.807,36.46,5.737,36.91,8.941
5.840,36.15,7.453,36.91,11.65
5.874,35.80,8.952,36.90,14.04
5.907,35.45,10.16,36.88,15.99
5.940,35.17,11.08,36.87,17.49
5.974,34.95,11.69,36.85,18.50
6.007,34.85,11.97,36.85,18.96
6.040,34.87,11.91,36.85,18.86
6.074,35.00,11.52,36.85,18.22
6.107,35.23,10.81,36.85,17.06
6.141,35.54,9.777,36.86,15.38
6.174,35.89,8.454,36.88,13.25
6.207,36.24,6.867,36.88,10.73
6.241,36.55,5.059,36.90,7.881
6.274,36.78,3.077,36.91,4.782
6.307,36.90,0.954,36.91,1.482
6.341,36.91,-1.142,36.93,-1.772
6.374,36.79,-3.283,36.94,-5.099
6.407,36.56,-5.304,36.94,-8.255
6.441,36.25,-7.180,36.95,-11.21
6.474,35.89,-8.835,36.96,-13.83
6.508,35.52,-10.23,36.97,-16.07
6.541,35.20,-11.35,36.98,-17.87
6.574,34.94,-12.15,36.99,-19.18
6.608,34.76,-12.63,36.99,-19.97
6.641,34.71,-12.77,36.99,-20.20
6.674,34.79,-12.57,36.99,-19.87
6.708,34.97,-12.05,36.99,-19.01
6.741,35.25,-11.20,36.99,-17.63
6.775,35.59,-10.05,36.98,-15.77
6.808,35.96,-8.620,36.98,-13.48
6.841,36.31,-6.957,36.97,-10.85
6.875,36.61,-5.099,36.96,-7.930
6.908,36.82,-3.100,36.95,-4.814
6.941,36.94,-1.010,36.95,-1.567
6.975,36.92,1.054,36.93,1.635
7.008,36.80,3.112,36.93,4.834
7.042,36.57,5.046,36.92,7.855
7.075,36.28,6.807,36.91,10.63
