t,x,y,r,θr
1.669,-5.401,-17.24,18.06,-107.4
1.702,-5.401,-17.24,18.06,-107.4
1.735,-5.401,-17.24,18.06,-107.4
1.769,-8.101,-19.25,20.88,-112.8
1.802,-10.34,-20.49,22.96,-116.8
1.835,-13.05,-21.73,25.35,-121.0
1.869,-16.28,-22.81,28.02,-125.5
1.902,-19.90,-23.55,30.83,-130.2
1.936,-23.82,-23.90,33.74,-134.9
1.969,-27.43,-23.68,36.23,-139.2
2.002,-31.10,-23.04,38.70,-143.5
2.036,-34.46,-22.05,40.92,-147.4
2.069,-37.33,-20.84,42.76,-150.8
2.102,-39.68,-19.58,44.24,-153.7
2.136,-41.38,-18.46,45.31,-156.0
2.169,-42.57,-17.58,46.06,-157.6
2.203,-43.20,-17.08,46.46,-158.4
2.236,-43.28,-17.00,46.50,-158.6
2.269,-42.77,-17.37,46.16,-157.9
2.303,-41.76,-18.12,45.52,-156.5
2.336,-40.20,-19.15,44.53,-154.5
2.369,-38.12,-20.37,43.22,-151.9
2.403,-35.56,-21.59,41.60,-148.7
2.436,-32.50,-22.65,39.61,-145.1
2.470,-29.09,-23.38,37.32,-141.2
2.503,-25.54,-23.80,34.91,-137.0
2.536,-21.91,-23.73,32.30,-132.7
2.570,-18.42,-23.28,29.69,-128.3
2.603,-15.18,-22.46,27.11,-124.1
2.636,-12.29,-21.41,24.69,-119.9
2.670,-9.832,-20.24,22.50,-115.9
2.703,-7.949,-19.13,20.72,-112.6
2.737,-6.595,-18.22,19.38,-109.9
2.770,-5.815,-17.63,18.56,-108.3
2.803,-5.533,-17.41,18.27,-107.6
2.837,-5.791,-17.63,18.56,-108.2
2.870,-6.591,-18.23,19.39,-109.9
2.903,-7.953,-19.14,20.73,-112.6
2.937,-9.899,-20.28,22.56,-116.0
2.970,-12.42,-21.47,24.81,-120.1
3.003,-15.34,-22.53,27.25,-124.2
3.037,-18.81,-23.37,30.00,-128.8
3.070,-22.37,-23.79,32.66,-133.2
3.104,-26.08,-23.80,35.30,-137.6
3.137,-29.66,-23.34,37.74,-141.8
3.170,-33.03,-22.53,39.98,-145.7
3.204,-35.99,-21.44,41.89,-149.2
3.237,-38.42,-20.25,43.43,-152.2
3.270,-40.36,-19.12,44.66,-154.7
3.304,-41.70,-18.21,45.50,-156.4
3.337,-42.50,-17.61,46.00,-157.5
3.371,-42.77,-17.36,46.16,-157.9
3.404,-42.49,-17.60,45.99,-157.5
3.437,-41.69,-18.20,45.49,-156.4
3.471,-40.35,-19.10,44.64,-154.7
3.504,-38.47,-20.18,43.44,-152.3
3.537,-36.09,-21.33,41.92,-149.4
3.571,-33.28,-22.39,40.11,-146.1
3.604,-30.04,-23.22,37.97,-142.3
3.638,-26.57,-23.67,35.58,-138.3
3.671,-22.99,-23.73,33.04,-134.1
3.704,-19.62,-23.45,30.58,-129.9
3.738,-16.44,-22.81,28.12,-125.8
3.771,-13.43,-21.85,25.65,-121.6
3.804,-10.98,-20.78,23.51,-117.9
3.838,-8.938,-19.72,21.65,-114.4
3.871,-7.450,-18.79,20.21,-111.6
3.905,-6.489,-18.13,19.25,-109.7
3.938,-6.078,-17.81,18.82,-108.8
3.971,-6.173,-17.88,18.92,-109.0
4.005,-6.799,-18.34,19.56,-110.3
4.038,-7.985,-19.14,20.74,-112.6
4.071,-9.731,-20.16,22.39,-115.8
4.105,-11.99,-21.28,24.42,-119.4
4.138,-14.82,-22.35,26.81,-123.5
4.172,-18.04,-23.20,29.39,-127.9
4.205,-21.50,-23.73,32.02,-132.2
4.238,-25.17,-23.85,34.68,-136.5
4.272,-28.72,-23.55,37.14,-140.6
