t,x,y,r,θr
1.335,16.93,10.03,19.68,30.63
1.368,17.43,9.122,19.68,27.62
1.402,18.10,7.740,19.69,23.15
1.435,18.76,5.900,19.67,17.46
1.468,19.31,3.713,19.66,10.89
1.502,19.60,1.264,19.64,3.691
1.535,19.56,-1.263,19.60,-3.694
1.569,19.20,-3.690,19.55,-10.88
1.602,18.63,-5.853,19.53,-17.44
1.635,17.96,-7.635,19.51,-23.03
1.669,17.31,-8.963,19.49,-27.37
1.702,16.83,-9.799,19.48,-30.20
1.735,16.61,-10.14,19.46,-31.40
1.769,16.70,-10.01,19.47,-30.94
1.802,17.07,-9.403,19.49,-28.85
1.835,17.64,-8.318,19.51,-25.24
1.869,18.32,-6.790,19.54,-20.34
1.902,18.95,-4.860,19.56,-14.39
1.936,19.42,-2.633,19.60,-7.721
1.969,19.64,-0.215,19.64,-0.626
2.002,19.55,2.186,19.67,6.381
2.036,19.18,4.444,19.68,13.05
2.069,18.60,6.419,19.68,19.04
2.102,17.98,8.020,19.69,24.04
2.136,17.40,9.172,19.67,27.79
2.169,17.00,9.857,19.65,30.10
2.203,16.87,10.07,19.65,30.85
2.236,17.03,9.820,19.66,29.97
2.269,17.45,9.088,19.67,27.51
2.303,18.03,7.884,19.68,23.61
2.336,18.67,6.233,19.68,18.46
2.369,19.22,4.192,19.67,12.31
2.403,19.57,1.887,19.66,5.508
2.436,19.64,-0.539,19.64,-1.572
2.470,19.39,-2.939,19.61,-8.621
2.503,18.92,-5.103,19.59,-15.10
2.536,18.30,-6.949,19.57,-20.80
2.570,17.67,-8.355,19.55,-25.30
2.603,17.17,-9.302,19.52,-28.45
2.636,16.89,-9.760,19.50,-30.03
2.670,16.88,-9.752,19.50,-30.01
2.703,17.16,-9.293,19.52,-28.43
2.737,17.66,-8.373,19.54,-25.37
2.770,18.28,-6.999,19.57,-20.96
2.803,18.88,-5.237,19.59,-15.50
2.837,19.37,-3.146,19.62,-9.226
2.870,19.66,-0.851,19.67,-2.478
2.903,19.63,1.486,19.69,4.330
2.937,19.32,3.732,19.68,10.93
2.970,18.81,5.729,19.67,16.94
3.004,18.27,7.382,19.70,22.01
3.037,17.72,8.611,19.70,25.92
3.070,17.29,9.413,19.69,28.56
3.104,17.06,9.738,19.64,29.72
3.137,17.14,9.605,19.65,29.26
3.170,17.51,9.011,19.70,27.23
3.204,18.04,7.942,19.71,23.76
3.237,18.60,6.449,19.69,19.12
3.271,19.12,4.569,19.66,13.44
3.304,19.52,2.400,19.67,7.010
3.337,19.67,8.961E-2,19.67,0.261
3.371,19.49,-2.247,19.62,-6.576
3.404,19.06,-4.427,19.57,-13.07
3.437,18.50,-6.293,19.54,-18.79
3.471,17.93,-7.766,19.54,-23.42
3.504,17.43,-8.810,19.53,-26.81
3.538,17.10,-9.381,19.51,-28.74
3.571,17.02,-9.499,19.49,-29.17
3.604,17.24,-9.155,19.52,-27.97
3.638,17.67,-8.361,19.55,-25.33
3.671,18.23,-7.122,19.57,-21.34
3.704,18.79,-5.494,19.58,-16.30
3.738,19.27,-3.533,19.59,-10.39
3.771,19.58,-1.360,19.63,-3.973
3.804,19.64,0.905,19.66,2.639
3.838,19.43,3.108,19.68,9.088
3.871,19.00,5.095,19.67,15.01
3.905,18.47,6.783,19.68,20.16
3.938,17.95,8.078,19.68,24.23
3.971,17.53,8.948,19.68,27.05
4.005,17.27,9.364,19.65,28.46
4.038,17.30,9.345,19.66,28.38
4.071,17.57,8.854,19.67,26.75
4.105,18.02,7.921,19.68,23.73
4.138,18.57,6.567,19.69,19.48
4.172,19.08,4.822,19.68,14.18
4.205,19.47,2.775,19.67,8.113
4.238,19.64,0.548,19.65,1.597
4.272,19.56,-1.704,19.63,-4.980
4.305,19.20,-3.857,19.59,-11.36
4.338,18.71,-5.732,19.57,-17.04
4.372,18.15,-7.253,19.55,-21.78
4.405,17.65,-8.358,19.53,-25.34
