t,x,y,r,θr
0.768,2.765,1.232,3.027,24.01
0.801,2.799,1.15,3.026,22.33
0.834,2.845,1.029,3.026,19.87
0.868,2.897,0.87,3.025,16.72
0.901,2.947,0.682,3.025,13.03
0.934,2.986,0.465,3.022,8.842
0.968,3.013,0.231,3.022,4.378
1.001,3.02,-0.01202,3.02,-0.228
1.035,3.007,-0.254,3.018,-4.832
1.068,2.978,-0.485,3.018,-9.25
1.101,2.938,-0.699,3.02,-13.39
1.135,2.888,-0.88,3.019,-16.95
1.168,2.837,-1.027,3.017,-19.89
1.201,2.794,-1.137,3.016,-22.15
1.235,2.762,-1.208,3.015,-23.62
1.268,2.746,-1.241,3.014,-24.31
1.301,2.749,-1.234,3.013,-24.17
1.335,2.771,-1.185,3.014,-23.16
1.368,2.806,-1.099,3.014,-21.39
1.402,2.853,-0.977,3.016,-18.91
1.435,2.903,-0.821,3.017,-15.8
1.468,2.951,-0.635,3.018,-12.14
1.502,2.99,-0.425,3.02,-8.081
1.535,3.014,-0.198,3.021,-3.761
1.568,3.02,0.0361,3.021,0.685
1.602,3.009,0.269,3.021,5.1
1.635,2.982,0.49,3.022,9.332
1.669,2.942,0.693,3.022,13.25
1.702,2.895,0.868,3.023,16.69
1.735,2.847,1.012,3.022,19.57
1.769,2.806,1.122,3.022,21.79
1.802,2.777,1.193,3.022,23.25
1.835,2.763,1.224,3.022,23.88
1.869,2.767,1.215,3.022,23.71
1.902,2.789,1.166,3.023,22.68
1.936,2.822,1.077,3.021,20.88
1.969,2.867,0.95,3.02,18.33
2.002,2.918,0.787,3.022,15.1
2.036,2.963,0.595,3.022,11.35
2.069,2.995,0.38,3.019,7.233
2.102,3.015,0.151,3.019,2.859
2.136,3.017,-0.08642,3.018,-1.641
2.169,3.001,-0.317,3.017,-6.04
2.203,2.969,-0.535,3.017,-10.22
2.236,2.927,-0.732,3.017,-14.05
2.269,2.88,-0.899,3.017,-17.34
2.303,2.835,-1.032,3.017,-20.0
2.336,2.797,-1.13,3.017,-21.99
2.369,2.772,-1.187,3.015,-23.19
2.403,2.761,-1.206,3.013,-23.59
2.436,2.77,-1.187,3.014,-23.2
2.469,2.797,-1.131,3.017,-22.02
2.503,2.832,-1.038,3.016,-20.12
2.536,2.876,-0.908,3.016,-17.53
2.57,2.923,-0.748,3.017,-14.36
2.603,2.967,-0.56,3.02,-10.7
2.636,3.002,-0.351,3.022,-6.669
2.67,3.019,-0.129,3.022,-2.444
2.703,3.017,0.0975,3.019,1.851
2.736,3.003,0.321,3.02,6.1
2.77,2.976,0.53,3.022,10.11
2.803,2.937,0.719,3.024,13.76
2.837,2.891,0.882,3.023,16.97
2.87,2.847,1.013,3.022,19.59
2.903,2.811,1.108,3.022,21.52
2.937,2.789,1.167,3.023,22.7
2.97,2.782,1.186,3.024,23.1
3.003,2.79,1.166,3.024,22.68
3.037,2.812,1.106,3.022,21.48
3.07,2.848,1.008,3.021,19.48
3.104,2.893,0.873,3.022,16.8
3.137,2.938,0.707,3.022,13.54
3.17,2.977,0.514,3.021,9.805
3.204,3.005,0.301,3.02,5.725
3.237,3.018,0.07481,3.019,1.42
3.27,3.016,-0.154,3.02,-2.914
3.304,2.995,-0.375,3.019,-7.128
3.337,2.962,-0.58,3.019,-11.07
3.37,2.92,-0.763,3.018,-14.64
3.404,2.875,-0.915,3.017,-17.66
3.437,2.834,-1.033,3.016,-20.03
3.471,2.803,-1.116,3.017,-21.71
3.504,2.785,-1.161,3.018,-22.63
3.537,2.782,-1.169,3.017,-22.8
3.571,2.792,-1.139,3.016,-22.2
3.604,2.82,-1.073,3.018,-20.82
3.637,2.861,-0.971,3.021,-18.74
3.671,2.904,-0.836,3.022,-16.06
3.704,2.945,-0.671,3.02,-12.84
3.738,2.979,-0.481,3.018,-9.169
3.771,3.007,-0.274,3.02,-5.199
3.804,3.021,-0.05346,3.022,-1.014
3.838,3.018,0.163,3.022,3.089
3.871,2.998,0.377,3.022,7.158
3.904,2.965,0.574,3.02,10.95
3.938,2.926,0.749,3.021,14.36
3.971,2.887,0.897,3.023,17.26
4.005,2.849,1.012,3.023,19.56
4.038,2.816,1.094,3.021,21.24
4.071,2.798,1.138,3.021,22.14
4.105,2.797,1.144,3.022,22.25
4.138,2.813,1.111,3.024,21.56
4.171,2.839,1.04,3.024,20.13
4.205,2.875,0.934,3.023,17.99
4.238,2.915,0.794,3.021,15.24
4.272,2.957,0.623,3.022,11.89
4.305,2.992,0.428,3.022,8.143
4.338,3.014,0.217,3.022,4.112
4.372,3.02,-0.002293,3.02,-0.0435
4.405,3.011,-0.222,3.019,-4.219
4.438,2.987,-0.432,3.018,-8.233
4.472,2.953,-0.624,3.018,-11.94
4.505,2.912,-0.792,3.017,-15.21
4.538,2.869,-0.929,3.016,-17.94
4.572,2.832,-1.033,3.015,-20.04
4.605,2.807,-1.102,3.016,-21.42
4.639,2.794,-1.134,3.016,-22.1
4.672,2.795,-1.129,3.015,-21.99
4.705,2.811,-1.087,3.014,-21.15
4.739,2.841,-1.011,3.016,-19.58
4.772,2.88,-0.9,3.017,-17.36
4.805,2.922,-0.76,3.019,-14.58
4.839,2.961,-0.591,3.019,-11.3
4.872,2.993,-0.402,3.019,-7.642
4.906,3.013,-0.197,3.019,-3.742
4.939,3.021,0.01662,3.021,0.315
4.972,3.011,0.228,3.02,4.322
5.006,2.989,0.429,3.02,8.166
5.039,2.957,0.614,3.02,11.72
5.072,2.92,0.775,3.021,14.86
5.106,2.881,0.908,3.021,17.5
5.139,2.847,1.01,3.021,19.52
5.173,2.823,1.077,3.021,20.88
5.206,2.812,1.106,3.021,21.48
5.239,2.815,1.099,3.022,21.33
5.273,2.832,1.053,3.021,20.41
5.306,2.859,0.972,3.02,18.78
5.339,2.896,0.856,3.02,16.47
5.373,2.936,0.709,3.02,13.58
5.406,2.972,0.535,3.019,10.2
5.44,3.0,0.34,3.02,6.473
5.473,3.018,0.132,3.021,2.499
5.506,3.02,-0.08215,3.021,-1.558
5.54,3.006,-0.292,3.02,-5.555
5.573,2.98,-0.489,3.02,-9.328
5.606,2.945,-0.668,3.02,-12.77
5.64,2.905,-0.82,3.019,-15.77
5.673,2.867,-0.942,3.018,-18.19
5.706,2.836,-1.031,3.017,-19.97
5.74,2.815,-1.084,3.017,-21.06
5.773,2.809,-1.1,3.017,-21.39
5.807,2.816,-1.082,3.017,-21.02
5.84,2.836,-1.03,3.017,-19.97
5.873,2.867,-0.943,3.018,-18.21
5.907,2.905,-0.825,3.02,-15.85
5.94,2.943,-0.678,3.02,-12.97
5.973,2.978,-0.505,3.021,-9.626
6.007,3.005,-0.315,3.022,-5.982
6.04,3.019,-0.114,3.021,-2.159
6.074,3.021,0.09221,3.022,1.748
6.107,3.007,0.294,3.022,5.578
6.14,2.983,0.484,3.022,9.206
6.174,2.951,0.656,3.023,12.53
6.207,2.914,0.804,3.023,15.42
6.24,2.879,0.922,3.023,17.75
6.274,2.851,1.007,3.023,19.45
6.307,2.832,1.058,3.024,20.49
6.341,2.827,1.074,3.024,20.8
6.374,2.834,1.053,3.024,20.38
6.407,2.855,0.995,3.023,19.22
6.441,2.884,0.904,3.022,17.4
6.474,2.921,0.779,3.023,14.93
6.507,2.957,0.625,3.022,11.94
6.541,2.988,0.447,3.022,8.516
6.574,3.012,0.253,3.022,4.803
6.608,3.022,0.04867,3.023,0.923
6.641,3.018,-0.158,3.022,-2.992
6.674,3.0,-0.357,3.022,-6.783
6.708,2.972,-0.542,3.021,-10.33
6.741,2.938,-0.706,3.021,-13.5
6.774,2.901,-0.842,3.021,-16.18
6.808,2.867,-0.948,3.019,-18.31
6.841,2.841,-1.021,3.019,-19.77
6.874,2.826,-1.061,3.019,-20.57
6.908,2.826,-1.063,3.019,-20.62
6.941,2.836,-1.034,3.019,-20.02
6.975,2.859,-0.97,3.019,-18.74
7.008,2.891,-0.874,3.02,-16.82
7.041,2.927,-0.747,3.02,-14.32
7.075,2.962,-0.594,3.021,-11.34
7.108,2.993,-0.42,3.022,-7.982
7.141,3.013,-0.231,3.021,-4.376
7.175,3.022,-0.03055,3.022,-0.579
7.208,3.018,0.166,3.022,3.149
7.242,3.001,0.357,3.022,6.792
7.275,2.975,0.535,3.023,10.2
7.308,2.942,0.693,3.023,13.26
7.342,2.908,0.826,3.023,15.85
7.375,2.878,0.928,3.024,17.88
7.408,2.853,0.999,3.023,19.3
7.442,2.84,1.036,3.023,20.04
7.475,2.84,1.036,3.023,20.05
7.509,2.852,1.001,3.023,19.35
7.542,2.875,0.932,3.022,17.96
7.575,2.906,0.829,3.022,15.92
7.609,2.939,0.698,3.021,13.36
7.642,2.972,0.539,3.02,10.28
7.675,2.999,0.361,3.021,6.865
7.709,3.016,0.168,3.021,3.189
7.742,3.02,-0.03151,3.02,-0.598
7.776,3.01,-0.229,3.019,-4.358
7.809,2.989,-0.418,3.018,-7.961
7.842,2.96,-0.59,3.018,-11.28
7.876,2.927,-0.739,3.018,-14.16
7.909,2.893,-0.86,3.018,-16.55
7.942,2.863,-0.95,3.017,-18.35
7.976,2.843,-1.007,3.016,-19.5
8.009,2.836,-1.03,3.017,-19.96
8.042,2.839,-1.021,3.017,-19.77
8.076,2.854,-0.979,3.017,-18.93
8.109,2.879,-0.903,3.018,-17.41
8.143,2.912,-0.797,3.019,-15.3
8.176,2.945,-0.663,3.019,-12.69
8.209,2.977,-0.507,3.02,-9.663
8.243,3.003,-0.332,3.021,-6.303
8.276,3.019,-0.145,3.022,-2.744
8.309,3.022,0.04924,3.022,0.933
8.343,3.012,0.239,3.021,4.533
8.376,2.993,0.42,3.022,7.993
8.41,2.965,0.585,3.022,11.16
8.443,2.934,0.727,3.023,13.92
8.476,2.903,0.844,3.023,16.22
8.51,2.876,0.931,3.023,17.93
8.543,2.858,0.985,3.023,19.02
8.576,2.851,1.005,3.023,19.42
8.61,2.856,0.992,3.024,19.16
8.643,2.871,0.944,3.022,18.2
8.677,2.896,0.863,3.022,16.59
8.71,2.928,0.751,3.022,14.38
8.743,2.96,0.611,3.022,11.67
8.777,2.989,0.448,3.022,8.532
8.81,3.01,0.269,3.022,5.113
8.843,3.02,0.07873,3.022,1.493
8.877,3.019,-0.114,3.021,-2.165
8.91,3.005,-0.301,3.02,-5.724
8.943,2.981,-0.476,3.019,-9.081
8.977,2.95,-0.634,3.017,-12.12
9.01,2.918,-0.767,3.017,-14.73
9.044,2.887,-0.872,3.016,-16.81
9.077,2.864,-0.946,3.016,-18.28
9.11,2.849,-0.989,3.016,-19.14
9.144,2.846,-0.998,3.016,-19.33
9.177,2.854,-0.975,3.016,-18.87
9.21,2.872,-0.92,3.016,-17.77
9.244,2.899,-0.834,3.016,-16.05
9.277,2.93,-0.72,3.017,-13.8
9.311,2.962,-0.58,3.019,-11.08
9.344,2.99,-0.421,3.019,-8.013
9.377,3.01,-0.246,3.02,-4.669
9.411,3.02,-0.06037,3.02,-1.145
9.444,3.019,0.125,3.021,2.367
9.477,3.006,0.305,3.021,5.797
9.511,2.984,0.474,3.022,9.033
9.544,2.957,0.625,3.022,11.94
9.578,2.927,0.753,3.022,14.43
9.611,2.899,0.853,3.022,16.4
9.644,2.877,0.925,3.022,17.82
9.678,2.864,0.963,3.022,18.59
9.711,2.862,0.97,3.022,18.72
9.744,2.871,0.941,3.022,18.15
9.778,2.89,0.881,3.022,16.96
9.811,2.917,0.789,3.022,15.14
9.845,2.947,0.668,3.022,12.78
9.878,2.975,0.523,3.02,9.972
9.911,2.998,0.358,3.019,6.808
9.945,3.014,0.178,3.02,3.386
9.978,3.02,-0.007058,3.02,-0.134
10.011,3.013,-0.193,3.019,-3.675
10.045,2.996,-0.371,3.018,-7.053
10.078,2.971,-0.532,3.018,-10.15
10.111,2.941,-0.674,3.017,-12.92
10.145,2.911,-0.792,3.017,-15.22
10.178,2.884,-0.88,3.016,-16.97
10.212,2.866,-0.938,3.016,-18.12
10.245,2.858,-0.964,3.016,-18.63
10.278,2.859,-0.959,3.016,-18.54
10.312,2.871,-0.923,3.015,-17.82
